web-scraper-order,web-scraper-start-url,container,container-href,Price,Created_date,Phone,Engine,Gearbox,Mileage,Year,Color,Body_type,Fuel_type,Air_condition,Drive_type,Condition,Model,Location
"1667570173-2637","https://www.garirbazar.com/buy-cars","62016 Toyota HarrierDhakaPriceBDT 6,240,000Mileage21,000 km2.0 L (Petrol)AutomaticTOYOTA HARRIER 2016 NON-HYBRID - Premium Style Package.
Deep purple (color code 220), seat memory, push start, panoramic sunroof, 360 camera, Modellista body kit version II, power seat, power tailgate, keyless entry, HID, fog lamp, steering control, cruise control, Bluetooth mobile connectivity, half wooden steering, semi leather seats, front power seats, non-hybrid 2000 cc, auction point 4, mileage 21,000 km only. Posted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-harrier-dhaka-dhaka-3332","BDT 6,240,000","November 17","+880130 250 1001","Engine2.0 L","GearboxAutomatic","Mileage21,000 km","Year2016","ColorPurple","Body TypeSUV","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionImport","Toyota Harrier","Dhaka"
"1667570175-2638","https://www.garirbazar.com/buy-cars","72014 Toyota AquaDhakaPriceBDT 1,350,0001.5 L (Hybrid)AutomaticToyota Aqua G led 2014
RECONDITION UNIT
Manufacturer : Toyota
Transmission: Auto 
Model : 2014
Kilometers run : 102,742 ( auction sheet available )
Grade : 4 interior B
Displacement : 1500cc
Fuel Type: Octane and hybrid 
Color : Pearl 
Features:
Push start 
Black Interior    
Ev and eco mode 
Back camera 
Led fog light 
Led room light
Rear wiper  
Muffler tip
Japanese Alloy wheels 
We also provide registration process. 
Bank Loan facilities. 
Ready for inspection at our showroom Nikunjo 2,Road 21,Plot 2. 
Price : 13,50,000/- slightly negotiable Posted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-aqua-dhaka-dhaka-3333","BDT 1,350,000","November 17","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2014","ColorWhite","Body TypeHatchback","Fuel TypeHybrid","Air ConYes","Drive TypeRight","ConditionUsed","null","Toyota Aqua","Dhaka"
"1667570177-2639","https://www.garirbazar.com/buy-cars","71990 Toyota SoarerDhakaPriceBDT 2,250,000Mileage103,000 km2.0 L (Gas)AutomaticThis is the only Gz20 Soarer in Bangladesh. z20 soarer shared the same platform with MK3 Supra. 
This car is mostly stock without any kind of accident history. All auto, power steering, sunroof, Etc. It has a very healthy 2000cc Twin-Turbo 210bhp engine & so far 103,000km driven. 
Toyota Soarer GZ20
Year: 1990, Reg: 1997
1G-GTE engine 
Automatic Transmission 
TEIN coil overs 
ItalVolanti wooden steering wheel
Bridgestone Potenza RE003 tires
REINHARD#2 circuit type complete exhaust system 
ULTRA BLUE POINT power plug cords
Updated Documents 
A perfect and unique car to collect, the best platform to start building your very own JDM to your liking! Posted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-soarer-dhaka-dhaka-3334","BDT 2,250,000","November 17","+880130 250 1001","Engine2.0 L","GearboxAutomatic","Mileage103,000 km","Year1990","ColorGreen","Body TypeSport Car","Fuel TypeGas","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Soarer","Dhaka"
"1667570180-2640","https://www.garirbazar.com/buy-cars","52021 Toyota HarrierDhakaPriceBDT 9,600,0002.0 L (Petrol)AutomaticTOYOTA HARRIER NON HYBRID 2021 
Z LEATHER PACKAGE
Model: 2021
Color: Pearl
Bank Loan Available 50-70%
Please feel free to call us for details:Posted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-harrier-dhaka-dhaka-3335","BDT 9,600,000","November 17","+880130 250 1001","Engine2.0 L","GearboxAutomatic","Year2021","ColorWhite","Body TypeSUV","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionImport","null","Toyota Harrier","Dhaka"
"1667570182-2641","https://www.garirbazar.com/buy-cars","22018 Honda CivicDhakaPriceBDT 3,700,000Mileage2,500 km1.5 L (Petrol)AutomaticSelf drove Honda Civic 1500 cc VTEC Turbo 2018
Registered 2018
Purchased brand new from DHS Motors
Fully loaded
Leather interior
Only 10 of such cars came with special rims as in the picture
Not a single scratch
Milage, 2500 km only
Price, 37 Lacs (fixed)Posted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-honda-civic-dhaka-dhaka-3337","BDT 3,700,000","November 18","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Mileage2,500 km","Year2018","ColorRed","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Honda Civic","Dhaka"
"1667570185-2642","https://www.garirbazar.com/buy-cars","92019 Audi Q3DhakaPriceBDT 6,890,000Mileage2,000 km1.4 L (Petrol)AutomaticAudi Q3 2019 Matrix LED!
Higher Spec, Just Brand new condition  
- Model Year - 2019
- Registration 2020
- Driven 2000 Only
- Warranty available from Dealer 
Specification: 
- Engine: 1400cc Turbo Fuel Stratified Injection Engine (TFSI) 
- Cosmos Blue Metallic 
- Premium Tan Leather Interior with Brown Wood Trim, 
- Audi Premium Surround Sound System
- 10.2-inch virtual cockpit screen
- 17” OEM Rims with Run-Flat Tyres 
- Bluetooth Audio
- Front All Way Power Seats 
- Adjustable Driving Modes
- Dynamic Matrix LED Headlamps
- Automatic Dimming Inside Rearview Mirror & Outside Mirrors
- Multifunction Steering Wheel
- Full Panoramic Sunroof 
- Dual Zone Climate Control
- Rear Seat Air Conditioning Vents 
- Center Console Controller
- Tire Pressure Monitor (TPM)
- Dual Exhaust System
- Ambient Lighting
- Touch Emblem Power Back Door
- All-Way Parking Sensors 
+ many other exciting features! 
Asking Price 68,90 lac (Almost Fixed) Posted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-audi-q3-dhaka-dhaka-3338","BDT 6,890,000","November 18","+880130 250 1001","Engine1.4 L","GearboxAutomatic","Mileage2,000 km","Year2019","ColorBlue","Body TypeSUV","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Audi Q3","Dhaka"
"1667570187-2643","https://www.garirbazar.com/buy-cars","62017 Honda CivicDhakaPriceBDT 3,280,000Mileage20,300 km1.5 L (Petrol)AutomaticHonda Civic
Brand new purchased
Model 2017
Registration 2017
Cc1500 V-Tec Turbo
Mileage 20300KM
Black
Two way Sunroof 
Push start 
Two remote keys
Remotely start and windows
Full leather seats
Paddle shifter
LED Projection HID light
Day running LED light
LED Cluster
Auto speed lock
Audio, speed etc controls in steering
Oem spoiler
Air brake side defuse 
Original Vossen Rims
Factory smell inside the car
All floor mats are just spotless 
This is one of the freshest... 
Call for details 
Posted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-honda-civic-dhaka-dhaka-3339","BDT 3,280,000","November 18","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Mileage20,300 km","Year2017","ColorBlack","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Honda Civic","Dhaka"
"1667570190-2644","https://www.garirbazar.com/buy-cars","32021 Toyota Crown RS AdvanceDhakaPriceBDT 10,000,0002.5 L (Hybrid)Automatic2021 Brand New Toyota Crown Class B Hybrid 
(Base Package)
Price Start from 1,00,00,000tk
2021 Brand New Toyota Crown RS Advance Hybrid 
(Sunroof and Modellista bodykit Package)
Price Start from 1,15,00,000tkPosted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-crown-rs-advance-dhaka-dhaka-3340","BDT 10,000,000","November 18","+880130 250 1001","Engine2.5 L","GearboxAutomatic","Year2021","ColorWhite","Body TypeSedan","Fuel TypeHybrid","Air ConYes","Drive TypeRight","ConditionUsed","null","Toyota Crown RS Advance","Dhaka"
"1667570192-2645","https://www.garirbazar.com/buy-cars","62021 Honda CR-VDhakaPriceBDT 5,750,0001.5 L (Petrol)Automatic2021 Honda CR-V AWD
 7 Seats 57,50,000 with registration 
Country of origin Thailand 
Imported from Thailand 
Shipping January 2022
- 1500cc Turbo engine
- 140kW @ 5600rpm and 240Nm @ 2000-5000rpm
-All Wheel Drive 
- Smart keyless entry 
- Remote ignition 
-Push start button 
- Dual Exhaust Finishers
- Premium sound system with 8 speakers
- Hands-free power tailgate with motion gesture
- Front and rear parking sensors
- LaneWatch camera
- Leather-wrapped steering wheel
- Leather-appointed† seat trim
- 8way powered driver seat with memory
- 4way Convenience front passenger seat 
- 7 seats
- Panoramic Sunroof
- UV cut Glass
- Full LED headlights & fog lights 
- Body Accented Shark fin Antennas 
- Dual Zone Climate Control
- Rear comfort A/C vents
- Auto rain-sensing wipers
- Ambient lighting
- Auto dimming rear view mirror
- 18”inch alloy wheels with full size 
- 18”inch alloy spare tire
2 years warranty 6 full servicePosted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-honda-cr-v-dhaka-dhaka-3341","BDT 5,750,000","November 18","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2021","ColorWhite","Body TypeSUV","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","null","Honda CR-V","Dhaka"
"1667570195-2646","https://www.garirbazar.com/buy-cars","52021 Toyota YarisDhakaPriceBDT 4,750,0001.5 L (Hybrid)Automatic2022 Toyota Yaris Cross Urban 
Drive Away Price 47,50,000
2022 Toyota Yaris Cross GXL
Drive Away Price 44,00,000
2022 Toyota Yaris Cross GX
Drive Away Price 41,50,000
• 1.500cc Toyota Hybrid System
• Continuously Variable Transmission (CVT) 
• Electric AWD – hybrid only
• 7"" colour touchscreen display
• 4.2"" Multi Information Display
• Apple CarPlay®3 and Android AutoTM,4
• Smart entry and start system
• Reversing camera
• Leather accented steering wheel
• 40:20:40 folding rear seats
• 8 SRS airbags
• Toyota Connected Services1 – with inbuilt
communication device
• Toyota Safety Sense – including Intersection Turn Assistance, Lane Departure Alert, Lane Trace Assist, Pre-Collision Safety system with pedestrian and daylight cyclist detection, Road Sign Assist, Automatic High Beam and Active Cruise Control8
• Panoramic view monitor
• Blind Spot Monitor
• Satellite navigation9 with SUNATM,10 traffic channel
• Front and rear parking sensors with
Parking Support Brake
• LED headlamps with Automatic High Beam 
• LED Turn signal
• Rear LED reverse lamp
• Rear privacy glass
• Head-Up Display
• Power driver’s seat 
• Heated front seats 
• Premium trim seats
• Power back door with kick sensor 
• 18"" alloy wheels
• Painted radiator grille
• Two-tone paint optionPosted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-yaris-dhaka-dhaka-3342","BDT 4,750,000","November 18","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2021","ColorWhite","Body TypeSUV","Fuel TypeHybrid","Air ConYes","Drive TypeRight","ConditionNew","null","Toyota Yaris","Dhaka"
"1667570197-2647","https://www.garirbazar.com/buy-cars","42021 Toyota CamryDhakaPriceBDT 7,200,0002.5 L (Hybrid)Automatic2022 Toyota Camry ZR
2.5 Petrol Hybrid Automatic
Price 72,00,000
Main features
• 2.5L VVT-iE petrol engine with Toyota Hybrid System
— Toyota Safety Sense with Pre-Collision
System with Cyclist and Pedestrian Detection, Emergency Steering Assist, Lane Trace Assist, Collision Mitigation Support, Intelligent Adaptive Cruise Control, Automatic High Beam and Road Sign Assist.
• 18"" alloy wheels
• Panoramic glass roof
• Sports front grille
• Sports rear bumper
• Sports side skirts
• Rear spoiler
• Premium steering wheel and gear lever
• Premium scuff plates
• Power adjustable driver’s seat
• Dual-zone automatic climate control 
• Smart entry and start system
• 7"" colour Multi Information Display
• 9"" colour touchscreen display
• Satellite navigation with SUNATM,8
traffic channel
• Front and rear clearance sensors
• Blind Spot Monitor
• Rear Cross Traffic Alert
• Seat heating and cooling for driver and
front passenger adjustable lumbar support
• Leather accented seats
• Driver’s seat memory function
• Power adjustable passenger seat with power
• Power tilt and telescopic steering wheel
• Intelligent ambient illumination – console and
foot well
• Colour Head-Up Display
• Rain sensing wipers
• 9-speaker JBL premium audio 
• Panoramic View Monitor
• LED headlamps – high grade
• LED rear combination lamps – high grade • High gloss sports grille
• Paddle shift controls
• Two rear USB7 charging pointsPosted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-camry-dhaka-dhaka-3343","BDT 7,200,000","November 18","+880130 250 1001","Engine2.5 L","GearboxAutomatic","Year2021","ColorGrey","Body TypeSedan","Fuel TypeHybrid","Air ConYes","Drive TypeRight","ConditionNew","null","Toyota Camry","Dhaka"
"1667570200-2648","https://www.garirbazar.com/buy-cars","72020 Toyota HarrierDhakaPriceBDT 9,000,000Mileage11,000 km2.4 L (Hybrid)Automatic2020 Toyota Harrier Z
Grade 4.5 11,000km
Price 90,00,000Posted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-harrier-dhaka-dhaka-3344","BDT 9,000,000","November 18","+880130 250 1001","Engine2.4 L","GearboxAutomatic","Mileage11,000 km","Year2020","ColorBlue","Body TypeSUV","Fuel TypeHybrid","Air ConYes","Drive TypeRight","ConditionImport","Toyota Harrier","Dhaka"
"1667570202-2649","https://www.garirbazar.com/buy-cars","52017 Honda GraceDhakaPriceBDT 2,550,000Mileage42,000 km1.5 L (Hybrid)Automatic2017 Honda Grace EX
42,000km
Price 25,50,000Posted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-honda-grace-dhaka-dhaka-3345","BDT 2,550,000","November 18","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Mileage42,000 km","Year2017","ColorRed","Body TypeSedan","Fuel TypeHybrid","Air ConYes","Drive TypeRight","ConditionImport","Honda Grace","Dhaka"
"1667570204-2650","https://www.garirbazar.com/buy-cars","62021 Honda CR-VDhakaPriceBDT 5,750,0001.5 L (Petrol)Automatic2021 Honda CR-V AWD
 7 Seats 57,50,000 with registration 
Country of origin Thailand 
Imported from Thailand 
Shipping January 2022
- 1500cc Turbo engine
- 140kW @ 5600rpm and 240Nm @ 2000-5000rpm
-All Wheel Drive 
- Smart keyless entry 
- Remote ignition 
-Push start button 
- Dual Exhaust Finishers
- Premium sound system with 8 speakers
- Hands-free power tailgate with motion gesture
- Front and rear parking sensors
- LaneWatch camera
- Leather-wrapped steering wheel
- Leather-appointed† seat trim
- 8way powered driver seat with memory
- 4way Convenience front passenger seat 
- 7 seats
- Panoramic Sunroof
- UV cut Glass
- Full LED headlights & fog lights 
- Body Accented Shark fin Antennas 
- Dual Zone Climate Control
- Rear comfort A/C vents
- Auto rain-sensing wipers
- Ambient lighting
- Auto dimming rear view mirror
- 18”inch alloy wheels with full size 
- 18”inch alloy spare tire
2 years warranty 6 full servicePosted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-honda-cr-v-dhaka-dhaka-3346","BDT 5,750,000","November 18","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2021","ColorGrey","Body TypeSUV","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionNew","null","Honda CR-V","Dhaka"
"1667570207-2651","https://www.garirbazar.com/buy-cars","42021 Honda CivicDhakaPriceBDT 4,422,5001.5 L (Petrol)Automatic2022 HONDA CIVIC VTIS-B
Price 44,22,500 with registration 
5 units ready at stock confirm yours today..
- [ ] Air Conditioner Dual Zone automatic Climate Control
- [ ] Interior Uphostery   Premium Leather
- [ ] Keyless Entry 2 Transmitters with Door Lock/Unlock Boot Lid Opener
- [ ]  Remote Engine Start
- [ ]  Push Start/Stop
- [ ]  Multi Angle Rearview Camera
- [ ]  Front Console
- [ ]  Rear Armrest
- [ ]  Paddle Shifters
- [ ]  Wireless Phone Charger
- [ ]  10” Multimedia with Wireless Apple Carplay
- [ ]  Android Auto+USB+Bluetooth
- [ ]  Steering Wheel Control Audio+Vehicle Settings+Cruise Control
- [ ]  Rear Arm Rest
- [ ] Speaker   8
- [ ] Tweeter   4
- [ ] Automatic Rain Sensing Wiper
- [ ]  ECO Assist
- [ ]  ECON Mode
- [ ]  Power Retractable Door Mirrors
- [ ]  Power Doors All Door Locks Powered
- [ ] Shark fin antenna 
- [ ] Power Sunroof 
- [ ] LED front fog lamp
- [ ] Headlights with LED daytime running lights 
- [ ] 17 inch alloy wheels, 
- [ ] sporty design Unique LED taillightsPosted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-honda-civic-dhaka-dhaka-3347","BDT 4,422,500","November 18","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2021","ColorBlack","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionNew","null","Honda Civic","Dhaka"
"1667570209-2652","https://www.garirbazar.com/buy-cars","52021 Honda CivicDhakaPriceBDT 4,422,5001.5 L (Petrol)Automatic2022 HONDA CIVIC VTIS-B
Price 44,22,500 with registration 
5 units ready at stock confirm yours today..
- [ ] Air Conditioner Dual Zone automatic Climate Control
- [ ] Interior Uphostery   Premium Leather
- [ ] Keyless Entry 2 Transmitters with Door Lock/Unlock Boot Lid Opener
- [ ]  Remote Engine Start
- [ ]  Push Start/Stop
- [ ]  Multi Angle Rearview Camera
- [ ]  Front Console
- [ ]  Rear Armrest
- [ ]  Paddle Shifters
- [ ]  Wireless Phone Charger
- [ ]  10” Multimedia with Wireless Apple Carplay
- [ ]  Android Auto+USB+Bluetooth
- [ ]  Steering Wheel Control Audio+Vehicle Settings+Cruise Control
- [ ]  Rear Arm Rest
- [ ] Speaker   8
- [ ] Tweeter   4
- [ ] Automatic Rain Sensing Wiper
- [ ]  ECO Assist
- [ ]  ECON Mode
- [ ]  Power Retractable Door Mirrors
- [ ]  Power Doors All Door Locks Powered
- [ ] Shark fin antenna 
- [ ] Power Sunroof 
- [ ] LED front fog lamp
- [ ] Headlights with LED daytime running lights 
- [ ] 17 inch alloy wheels, 
- [ ] sporty design Unique LED taillightsPosted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-honda-civic-dhaka-dhaka-3348","BDT 4,422,500","November 18","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2021","ColorRed","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionNew","null","Honda Civic","Dhaka"
"1667570212-2653","https://www.garirbazar.com/buy-cars","32021 Honda CivicDhakaPriceBDT 4,422,5001.5 L (Petrol)Automatic2022 HONDA CIVIC VTIS-B
Price 44,22,500 with registration 
5 units ready at stock
- [ ] Air Conditioner Dual Zone automatic Climate Control
- [ ] Interior Uphostery   Premium Leather
- [ ] Keyless Entry 2 Transmitters with Door Lock/Unlock Boot Lid Opener
- [ ]  Remote Engine Start
- [ ]  Push Start/Stop
- [ ]  Multi Angle Rearview Camera
- [ ]  Front Console
- [ ]  Rear Armrest
- [ ]  Paddle Shifters
- [ ]  Wireless Phone Charger
- [ ]  10” Multimedia with Wireless Apple Carplay
- [ ]  Android Auto+USB+Bluetooth
- [ ]  Steering Wheel Control Audio+Vehicle Settings+Cruise Control
- [ ]  Rear Arm Rest
- [ ] Speaker   8
- [ ] Tweeter   4
- [ ] Automatic Rain Sensing Wiper
- [ ]  ECO Assist
- [ ]  ECON Mode
- [ ]  Power Retractable Door Mirrors
- [ ]  Power Doors All Door Locks Powered
- [ ] Shark fin antenna 
- [ ] Power Sunroof 
- [ ] LED front fog lamp
- [ ] Headlights with LED daytime running lights 
- [ ] 17 inch alloy wheels, 
- [ ] sporty design Unique LED taillightsPosted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-honda-civic-dhaka-dhaka-3349","BDT 4,422,500","November 18","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2021","ColorBlue","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionNew","null","Honda Civic","Dhaka"
"1667570214-2654","https://www.garirbazar.com/buy-cars","32020 Suzuki HustlerDhakaPriceBDT 1,700,0000.6 L (Hybrid)Automatic𝐒𝐮𝐳𝐮𝐤𝐢 𝐇𝐮𝐬𝐭𝐥𝐞𝐫 𝐆 𝐖𝐚𝐠𝐨𝐧
660cc+Hybrid,
360° Camera,
Leather Seats,
Huge Leg Space,
Two Tone Olive Green Color,
Projection LED Headlights with DRL
Price: 17,00,000 bdt.Posted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-suzuki-hustler-dhaka-dhaka-3350","BDT 1,700,000","November 18","+880130 250 1001","Engine0.6 L","GearboxAutomatic","Year2020","ColorGreen","Body TypeHatchback","Fuel TypeHybrid","Air ConYes","Drive TypeRight","ConditionNew","null","Suzuki Hustler","Dhaka"
"1667570216-2655","https://www.garirbazar.com/buy-cars","52008 Mitsubishi OutlanderDhakaPriceBDT 1,645,0002.4 L (Petrol)AutomaticModel 2008 
Reg 2009
Cc 2400
Sunroof n rockford sound system
5 seat
Papers till july 2022
Octane driven. 
This car is personally used by me. In mint condition. So pls real buyers are requesting to visit the car physically rather offer any price in messenger.Posted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-mitsubishi-outlander-dhaka-dhaka-3351","BDT 1,645,000","November 18","+880130 250 1001","Engine2.4 L","GearboxAutomatic","Year2008","ColorBlack","Body TypeSUV","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","null","Mitsubishi Outlander","Dhaka"
"1667570219-2656","https://www.garirbazar.com/buy-cars","22008 Nissan SunnyDhakaPriceBDT 565,0001.3 L (Petrol)AutomaticModel 2008 . registration 2009 . super fresh condition family used car.No accident history 💯 guaranteed . Any information plz call me.[Posted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-nissan-sunny-dhaka-dhaka-3353","BDT 565,000","November 18","+880130 250 1001","Engine1.3 L","GearboxAutomatic","Year2008","ColorBlack","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","null","Nissan Sunny","Dhaka"
"1667570221-2657","https://www.garirbazar.com/buy-cars","62014 Honda VezelDhakaPriceBDT 1,962,000Mileage56,765 km1.5 L (Petrol)AutomaticHonda Vezel ( X-Package & Non-Hybrid)
Model - 2014
Registration Year - 2016
Fitness Expiry Date -12/2022
Tax token Expiry Date - 05/2022
Serial No- D/M-GHA-15
Exterior Color - Pearl
Interior Color - Ash
Engine Cubic Capacity- 1500cc
Mileage- 56,765
Fuel type - Octane

Options Are - 
>Push Start, 
>Projection Headlight, 
>Idel stop, 
>Eco Mode, 
>Soft Touch A/C, 
>Dvd-Hdd-Tv, 
>Fog light,
>Back camera, 
>Power starring, 
>Starring control,  
>A/C perfectly cooling.

An Interest person can Knock me in my inboxPosted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-honda-vezel-dhaka-dhaka-3354","BDT 1,962,000","November 18","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Mileage56,765 km","Year2014","ColorWhite","Body TypeSUV","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Honda Vezel","Dhaka"
"1667570224-2658","https://www.garirbazar.com/buy-cars","52015 Honda VezelDhakaPriceBDT 2,140,0001.5 L (Petrol)AutomaticFresh condition Non hybrid Honda vezel.2015 model, registration 2017.paddle shift gear.Idle stop.cruise control.super cool A/C.Electric blue color.Like a new car. Posted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-honda-vezel-dhaka-dhaka-3355","BDT 2,140,000","November 18","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Year2015","ColorBlue","Body TypeSUV","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","null","Honda Vezel","Dhaka"
"1667570226-2659","https://www.garirbazar.com/buy-cars","32014 Honda VezelDhakaPriceBDT 1,950,000Mileage28,900 km1.5 L (Hybrid)AutomaticHonda Vezel Hybrid 2014 Z Package for Sell:

Model - 2014
Registration- 2018
Mileage- 28900 km
Color - Matt Black
Condition - Self-driven on weekends. Approximately 10000km driven in Dhaka. 

All papers updated till 2022
Location - Mirpur DOHs

Price = 19,50,000/= (slight negotiable)

Requesting only serious buyers to knockPosted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-honda-vezel-dhaka-dhaka-3356","BDT 1,950,000","November 18","+880130 250 1001","Engine1.5 L","GearboxAutomatic","Mileage28,900 km","Year2014","ColorBlack","Body TypeSUV","Fuel TypeHybrid","Air ConYes","Drive TypeRight","ConditionUsed","Honda Vezel","Dhaka"
"1667570228-2660","https://www.garirbazar.com/buy-cars","62011 Honda CityDhakaPriceBDT 1,190,0001.5 L (Petrol)ManualHONDA CITY MODEL 2011 , Full LEATHER INTERIOR, MINT CONDITION, SPOTLESS, ICECOOL AC. TOP SPEED 220 KM. 

Engine# 
BOUGHT BRAND NEW RIGHT NOW  STILL LIKE RE-CONDITION.
1500 CC i -VTEC ENGINE,
118  HORSE POWER
MANUAL GEAR 
DOCS UPTO DATE-TILL 2023.
FUEL MILEAGE 21-22 km Per litre.
Posted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-honda-city-dhaka-dhaka-3357","BDT 1,190,000","November 18","+880130 250 1001","Engine1.5 L","GearboxManual","Year2011","ColorBlack","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","null","Honda City","Dhaka"
"1667570231-2661","https://www.garirbazar.com/buy-cars","42005 Mitsubishi LancerDhakaPriceBDT 680,0001.3 L (Gas)AutomaticMitsubishi Lancer 
model:2005 
reg:2007 
cc: paper 1300 engine 1600
paper: updated 2022/23
all auto ac ok full fresh and clean 
price:6,80,000
if anyone is interested so please call me or inbox me, pleasePosted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-mitsubishi-lancer-dhaka-dhaka-3358","BDT 680,000","November 18","+880130 250 1001","Engine1.3 L","GearboxAutomatic","Year2005","ColorBlue","Body TypeSedan","Fuel TypeGas","Air ConYes","Drive TypeRight","ConditionUsed","null","Mitsubishi Lancer","Dhaka"
"1667570234-2662","https://www.garirbazar.com/buy-cars","52004 Mercedes EDhakaPriceBDT 2,750,000Mileage40,566 km2.6 L (Petrol)ManualMercedes Benz E 240

Price = 27.50.000 

Year of Manufacture : 2004
Year of Registration : 2004
Engine capacity : 2600
SL : 11
16"" rim
Projection headlamp
Leather seat
Kilometer : 40,566
For more details please visit our showroomPosted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-mercedes-e-dhaka-dhaka-3359","BDT 2,750,000","November 18","+880130 250 1001","Engine2.6 L","GearboxManual","Mileage40,566 km","Year2004","ColorBlack","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Mercedes E","Dhaka"
"1667570236-2663","https://www.garirbazar.com/buy-cars","72002 Toyota AllionDhakaPriceBDT 1,030,0001.5 L (Gas)ManualToyota Allion 2002

Condition: Fresh .
Manufacturer : Toyota.
Series :toyota Allion
Model : 2002
Reg : 2005
Serial : 17
Engine : VVTI.
Engine capacity: 1500
Transmission: Auto.
Fuel System: Octane &Cng Driven 
Options: Fully Auto & Loaded.,Supersound system Dvd back camera, Original Glass. Air Bag, 4 ABS, Disk Brake, Anti Theft Security System, AC, Tilt Power Steering, Central, Ash Interior 
Tempered Glass, Original Toyota Rim, All Power & Full Option, No any accidental history, Papers up-to date.2022Posted 12 months ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-allion-dhaka-dhaka-3360","BDT 1,030,000","November 18","+880130 250 1001","Engine1.5 L","GearboxManual","Year2002","ColorSilver","Body TypeSedan","Fuel TypeGas","Air ConYes","Drive TypeRight","ConditionUsed","null","Toyota Allion","Dhaka"
